1;00:00:00.000 --> 00:00:03.120;Conheça o Residencial Livin' Resort House
2;00:00:03.120 --> 00:00:09.006;Localizado no coração de Atlântida
3;00:00:09.006 --> 00:00:13.566;E com toda a infraestrutura que você e sua família merecem. 
4;00:00:13.566 --> 00:00:20.831;Construtora oferece prazo direto em até 70x  e entrada de 15% para a compra do imóvel 
5;00:00:20.831 --> 00:00:25.302;Entrega em Dezembro/23 
6;00:00:25.302 --> 00:00:33.286;"Localização privilegiada próximo à rua coberta de Atlântida; a avenida mais cobiçada da cidade. "
7;00:00:33.286 --> 00:00:36.278;Imóveis prontos e decorados
8;00:00:36.278 --> 00:00:39.750;Consulte condições de pagamento com a Cooper
9;00:00:39.750 --> 00:00:44.847;mendar com o vídeo  de uma maneira que fique fluido
