1;00:00:00.000 --> 00:00:03.575;Baixe o aplicativo Left+ disponível na Apple e na Play Store.
2;00:00:03.575 --> 00:00:09.999;Para seu primeiro acesso ao clube de vantagens, faça o cadastro utilizando o mesmo CPF da sua conta LeftBank.
3;00:00:09.999 --> 00:00:15.631;O aplicativo pedirá a sua localização para oferecer descontos disponíveis na sua região.
4;00:00:15.631 --> 00:00:20.159;Pronto! Agora é só escolher a sua loja preferida e começar a economizar.
5;00:00:20.159 --> 00:00:24.585;Os cupons de descontos podem ser utilizados em lojas físicas e virtuais.
6;00:00:24.585 --> 00:00:28.263;Siga os passos disponíveis no seu cupom e aproveite!
