1;00:00:00,000 --> 00:00:03,580;A Léo Hortifruti seleciona os melhores produtores
2;00:00:03,580 --> 00:00:05,980;Para levar a melhor qualidade
3;00:00:05,980 --> 00:00:07,710;Do campo
4;00:00:07,710 --> 00:00:09,830;Direto para o seu negócio
5;00:00:09,830 --> 00:00:13,140;Deixando seus clientes sempre satisfeitos
6;00:00:00,000 --> 00:00:15,260;Venha conferir
;;
;;
;;
;;
;;
;;
;;
