1;00:00:00,000 --> 00:00:06,700;O poder de transformar, criar e unir o que há no mundo real com o que há de mais tecnológico.
2;00:00:06,700 --> 00:00:10,100;Isso não é para qualquer profissional.
3;00:00:10,100 --> 00:00:13,610;Uma homenagem a todos os técnicos em eletrônica
4;00:00:13,610 --> 00:00:17,260;e em especial aos profissionais da Porto Balanças.
5;00:00:17,260 --> 00:00:20,520;Feliz Dia do Técnico em Eletrônica!
;;
;;
;;
;;
;;
